CNT,SUBJECT,,COEF,COUNT,MEANESCS,MEANSCORE,RSQURED
Estonia,SCIE,0,27.4657271802,23895,0.110485930366,541.404756164,0.0762278749051
Finland,MATH,0,37.5804974753,44145,0.360088233477,518.750335283,0.125338226479
Finland,READ,0,37.3113927141,44145,0.360088233477,524.021669694,0.0990757382498
Finland,SCIE,0,38.7648129637,44145,0.360088233477,545.441939988,0.108224329669
Florida (USA),MATH,0,34.9385150016,9480,0.196714551864,466.803290749,0.135696590917
Florida (USA),READ,0,31.2971504638,9480,0.196714551864,492.137602029,0.101790620222
Florida (USA),SCIE,0,38.0345875793,9480,0.196714551864,484.996823663,0.137092268223
France,MATH,0,56.5414362663,23065,-0.0371109926415,494.984674321,0.2220445066
France,READ,0,57.3096859943,23065,-0.0371109926415,505.481483378,0.184844335348
France,SCIE,0,56.7930715392,23065,-0.0371109926415,498.970894151,0.214728215544
Germany,MATH,0,43.5776212583,25005,0.160990951746,513.52505582,0.176168775862
Germany,READ,0,38.2019660078,25005,0.160990951746,507.676529766,0.155736876371
Germany,SCIE,0,43.0399594762,25005,0.160990951746,524.120799257,0.176906120784
Greece,MATH,0,34.1718988507,25625,-0.064452396787,452.973426859,0.150633052234
Greece,READ,0,33.6181019182,25625,-0.064452396787,477.197176518,0.116196518774
Greece,SCIE,0,32.0472200242,25625,-0.064452396787,466.722029489,0.132912047507
Hong Kong-China,MATH,0,27.1987692521,23350,-0.771125563879,561.241096455,0.0745122617203
Hong Kong-China,READ,0,20.4803557877,23350,-0.771125563879,544.600085987,0.0530239035991
Hong Kong-China,SCIE,0,21.5654822804,23350,-0.771125563879,554.937434396,0.0624538653666
Hungary,MATH,0,45.1813006724,24050,-0.249793641914,477.044455015,0.220560974786
Hungary,READ,0,40.8359662133,24050,-0.249793641914,488.461333958,0.192105549096
Hungary,SCIE,0,42.4876661066,24050,-0.249793641914,494.302351222,0.21281714087
Iceland,MATH,0,30.9603126604,17540,0.758458816402,492.795697239,0.0764647616083
Iceland,READ,0,29.7033642948,17540,0.758458816402,482.522439928,0.0628506044155
Iceland,SCIE,0,32.9047933792,17540,0.758458816402,478.154596195,0.0740709030815
Indonesia,MATH,0,17.9614391467,28110,-1.7940451883,375.114451682,0.0780880353598
Indonesia,READ,0,14.4544594224,28110,-1.7940451883,396.120094523,0.0449267507434
Indonesia,SCIE,0,16.2897957481,28110,-1.7940451883,381.911484866,0.0686991091101
Ireland,MATH,0,38.3104588429,25080,0.125403534898,501.497460197,0.149523096792
Ireland,READ,0,39.4083153351,25080,0.125403534898,523.173210241,0.153163685543
Ireland,SCIE,0,41.2958640083,25080,0.125403534898,522.003959197,0.149098772215
Israel,MATH,0,49.8855085811,25275,0.165525654979,466.481430149,0.173386555315
Israel,READ,0,42.5788148253,25275,0.165525654979,485.803212444,0.111837135688
Israel,SCIE,0,46.7778900459,25275,0.165525654979,470.072661823,0.147508275576
Italy,MATH,0,27.9717806257,155365,-0.0534102598688,485.321181013,0.0865732359713
Italy,READ,0,29.1408347822,155365,-0.0534102598688,489.754403285,0.0863775149632
Italy,SCIE,0,27.5191405304,155365,-0.0534102598688,493.541481805,0.0832882144886
Japan,MATH,0,41.3726021484,31755,-0.0697423680583,536.406918234,0.101085641075
Japan,READ,0,38.7131248217,31755,-0.0697423680583,538.05148483,0.0811245632011
Japan,SCIE,0,36.5710111472,31755,-0.0697423680583,546.735599775,0.0764044908959
Jordan,MATH,0,19.9977905266,35190,-0.41456109447,385.595556396,0.0744616058787
Jordan,READ,0,18.1518820367,35190,-0.41456109447,399.034747104,0.0436630352715
Jordan,SCIE,0,20.4523743032,35190,-0.41456109447,409.367214687,0.0654259983083
Kazakhstan,MATH,0,26.5453945956,29040,-0.315584502201,431.798408505,0.0774173926577
Kazakhstan,READ,0,34.6508460612,29040,-0.315584502201,392.736233327,0.120493926477
Kazakhstan,SCIE,0,30.5839539666,29040,-0.315584502201,424.707522974,0.0951505141471
Korea,MATH,0,42.382124784,25165,0.0120477145655,553.766659144,0.100760923558
Korea,READ,0,33.0200055431,25165,0.0120477145655,535.790490356,0.0793304498811
Korea,SCIE,0,28.8039257049,25165,0.0120477145655,537.787621535,0.067878207816
Latvia,MATH,0,35.2679331175,21530,-0.250812771131,490.571021411,0.145099755007
Latvia,READ,0,33.2416540879,21530,-0.250812771131,488.694413789,0.125079720523
Latvia,SCIE,0,30.3866392555,21530,-0.250812771131,502.186192088,0.118539931758
Liechtenstein,MATH,0,29.9203963662,1465,0.292357994562,534.965082979,0.0828003449447
Liechtenstein,READ,0,26.1976860686,1465,0.292357994562,515.521654089,0.0738561567484
Liechtenstein,SCIE,0,29.9605542503,1465,0.292357994562,524.694992276,0.102075313985
Lithuania,MATH,0,36.0338585534,23090,-0.131234198126,478.823277433,0.137734492038
Lithuania,READ,0,31.6492567362,23090,-0.131234198126,477.30661155,0.113333573971
Lithuania,SCIE,0,31.8814951029,23090,-0.131234198126,495.700086397,0.116964249448
Luxembourg,MATH,0,36.9213430871,26290,0.0718605797377,489.845098037,0.182700976166
Luxembourg,READ,0,37.481508394,26290,0.0718605797377,487.807042834,0.155965895776
Luxembourg,SCIE,0,41.6964210591,26290,0.0718605797377,491.21517567,0.199751418361
Macao-China,MATH,0,17.2854100961,26675,-0.880389369779,538.134494734,0.0262500792267
